No,자치구,충전소주소,경도,위도,상태
86,강북구,서울특별시 강북구 수유동 360-10,127.0134007,37.64078086,정좌표
87,강북구,서울특별시 강북구 미아동 190-1,127.0249181,37.63055896,정좌표
88,강북구,서울특별시 강북구 미아동 190-1,127.0249181,37.63055896,정좌표
89,강북구,서울특별시 강북구 미아동 797,127.0193786,37.62596691,정좌표
90,강북구,서울특별시 강북구 미아동 474,127.0256822,37.61366714,정좌표
91,강북구,서울특별시 강북구 미아동 1355,127.0365537,37.61481595,정좌표
92,강북구,서울특별시 강북구 번동 139,127.0374917,37.62637217,정좌표
93,강북구,서울특별시 강북구 번동 418-3,127.0270128,37.63866563,정좌표
94,강서구,서울특별시 강서구 염창동 309,126.8707231,37.54900344,정좌표
95,강서구,서울특별시 강서구 가양동 양천로55길 55,126.8501051,37.56710834,정좌표
96,강서구,서울특별시 강서구 마곡동 748,126.8184952,37.57082479,인근좌표
97,강서구,서울특별시 강서구 내발산동 742,126.8301809,37.55436597,정좌표
98,강서구,서울특별시 강서구 내발산동 751,126.8248871,37.55280716,정좌표
99,강서구,서울특별시 강서구 내발산동 749,126.8270428,37.55197748,정좌표
100,강서구,서울특별시 강서구 내발산동 수명로2길 63,126.8255367,37.55047824,정좌표
101,강서구,서울특별시 강서구 내발산동 수명로2가길 22,126.8231255,37.54787876,정좌표
102,강서구,서울특별시 강서구 내발산동 745,126.8286268,37.55164572,정좌표
103,강서구,서울특별시 강서구 마곡동 공항대로 124,126.8212474,37.55883497,정좌표
104,강서구,서울특별시 강서구 마곡동 마곡서1로 146,126.8214129,37.56882845,정좌표
105,강서구,서울특별시 강서구 마곡동 736,126.8184952,37.57082479,인근좌표
106,강서구,서울특별시 강서구 마곡동 743,126.8184952,37.57082479,인근좌표
107,강서구,서울특별시 강서구 마곡동 마곡서1로 81,126.8192381,37.56300003,정좌표
108,강서구,서울특별시 강서구 마곡동 725-1,126.8178078,37.56401758,정좌표
109,강서구,서울특별시 강서구 방화동 금낭화로 287-19,126.8096006,37.57691708,정좌표
110,강서구,서울특별시 강서구 방화동 875,126.8149503,37.57469022,정좌표
111,강서구,서울특별시 강서구 방화동 금낭화로23길 8,126.8122211,37.57974004,정좌표
112,강서구,서울특별시 강서구 염창동 306,126.8735272,37.55137328,정좌표
113,강서구,서울특별시 강서구 방화동 886,126.8029664,37.56504719,정좌표
114,강서구,서울특별시 강서구 공항대로59길 64,126.8635639,37.55436349,정좌표
115,강서구,서울특별시 강서구 화곡동 1139,126.8335981,37.54567241,정좌표
141,구로구,서울특별시 구로구 개봉동 477,126.849758,37.48230253,정좌표
142,구로구,서울특별시 구로구 개봉동 475,126.8599821,37.49617583,정좌표
143,구로구,서울특별시 구로구 고척동 경인로47길 150,126.8626996,37.50535589,정좌표
144,구로구,서울특별시 구로구 고척동 340,126.8614054,37.50562112,정좌표
145,구로구,서울특별시 구로구 고척로 45길 39,126.8532764,37.50658126,정좌표
146,구로구,서울특별시 구로구 고척동 경인로 390,126.8643886,37.49446089,정좌표
147,구로구,서울특별시 구로구 고척동 63-6,126.8670622,37.49891962,정좌표
148,구로구,서울특별시 구로구 고척동 339,126.8580892,37.50759906,정좌표
149,구로구,서울특별시 구로구 구로동 741-44,126.8869565,37.48966071,정좌표
150,구로구,서울특별시 구로구 구로동 435,126.8876303,37.4952798,정좌표
151,구로구,서울특별시 구로구 구로동 256-1,126.8918753,37.48772128,정좌표
152,구로구,서울특별시 구로구 구로동 가마산로 283,126.8913844,37.49690376,정좌표
153,구로구,서울특별시 구로구 구로동 102,126.8895319,37.4969358,정좌표
154,구로구,서울특별시 구로구 구로동 1283,126.8755273,37.49820653,정좌표
155,구로구,서울특별시 구로구 고척동 327,126.8651068,37.50090205,정좌표
156,구로구,서울특별시 구로구 구로동 1263,126.884186,37.50348685,정좌표
157,구로구,서울특별시 구로구 구로동 501,126.8840888,37.49988535,정좌표
158,구로구,서울특별시 구로구 구로동 46-7,126.8914669,37.50066828,정좌표
159,구로구,서울특별시 구로구 신도림동 신도림로 56-13,126.8822147,37.50822898,정좌표
160,구로구,서울특별시시 구로구 신도림로 87,126.8838216,37.51085922,정좌표
161,구로구,서울특별시 구로구 오류동 346,126.8415039,37.49159639,정좌표
162,구로구,서울특별시 구로구 오류동 오류로 30,126.8404328,37.4872517,정좌표
163,구로구,서울특별시 구로구 천왕동 천왕로 92,126.8381947,37.48483825,정좌표
164,구로구,서울특별시 구로구 천왕동 천왕로 29,126.838595,37.48080242,정좌표
165,구로구,서울특별시 구로구 천왕동 천왕로 10,126.8416999,37.47957923,정좌표
166,구로구,서울특별시 구로구 항동 119-12,126.8242359,37.47961666,정좌표
167,금천구,서울특별시 금천구 시흥동 1020,126.8953852,37.45680559,정좌표
168,금천구,서울특별시 금천구 시흥동 시흥대로 165,126.8995949,37.44483258,정좌표
169,금천구,서울특별시 금천구 독산동 152-1,126.8976456,37.47261109,정좌표
170,금천구,서울특별시 금천구 가산디지털1로 33-33,126.8846476,37.4684638,정좌표
171,금천구,서울특별시 금천구 범안로 17길 1,126.894943,37.46700828,인근좌표
